display_party,votes,vote_share_pct,year
AIADMK,15390974,33.29,2021
BJP,1213510,2.62,2021
CPI,504537,1.09,2021
CPI(M),390819,0.85,2021
DMK,17430100,37.7,2021
INC,1976527,4.27,2021
NOTA,345538,0.75,2021
NTK,3041974,6.58,2021
Others,3725976,8.06,2021
PMK,1758774,3.8,2021
VCK,457763,0.99,2021
AIADMK,10462146,21.21,2026
BJP,1467024,2.97,2026
CPI,326488,0.66,2026
CPI(M),293817,0.6,2026
DMK,11929144,24.19,2026
INC,1661312,3.37,2026
NOTA,199801,0.41,2026
NTK,1972537,4.0,2026
Others,2174842,4.41,2026
PMK,1070745,2.17,2026
TVK,17226209,34.92,2026
VCK,540056,1.09,2026
