constituency,candidate,party,votes,runner_votes,margin,region,category
Edappadi,EDAPPADI PALANISWAMI. K,AIADMK,148933,50823,98110,Central,Top 5
Shozhinganallur,ECR P SARAVANAN,TVK,220382,123602,96780,Chennai Metro,Top 5
Madavaram,M.L.VIJAYPRABHU,TVK,190462,95477,94985,Chennai Metro,Top 5
Avadi,R.RAMESH KUMAR,TVK,180384,104073,76311,Chennai Metro,Top 5
Salem (West),LAKSHMANAN.S,TVK,120407,45540,74867,Central,Top 5
Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,83374,1,South,Bottom 5
Veppanahalli,SRINIVASAN.P.S,DMK,74691,74553,138,North,Bottom 5
Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,74831,214,South,Bottom 5
Polur,ABISHEK. R,TVK,67961,67734,227,North,Bottom 5
Tirukkoyilur,PALANISAMY S,AIADMK,73033,72748,285,Central,Bottom 5
