district,literacy_pct,avg_turnout_21,avg_turnout_26,turnout_change
Chennai,88.9,59.285000000000004,84.279375,24.99
Tiruvallur,81.6,70.643,85.103,14.46
Vellore,77.8,76.13153846153847,89.69769230769231,13.57
Tiruvannamalai,73.8,79.09125,90.5375,11.45
Villupuram,71.9,79.19090909090909,89.75,10.56
Cuddalore,74.2,76.70777777777778,86.58777777777777,9.88
Dharmapuri,64.1,82.534,91.786,9.25
Krishnagiri,67.5,77.40166666666667,86.64666666666666,9.24
Salem,74.0,79.15363636363637,91.78272727272727,12.63
Namakkal,77.8,80.04166666666667,91.62333333333333,11.58
Erode,78.3,75.99875,91.36375,15.36
Coimbatore,83.9,67.976,85.48100000000001,17.51
Nilgiris,77.4,68.33666666666666,90.53000000000002,22.19
Karur,75.6,83.955,93.5375,9.58
Tiruchirappalli,79.3,73.79,86.49444444444445,12.7
Perambalur,72.2,79.125,86.66999999999999,7.54
Ariyalur,70.3,82.46000000000001,88.225,5.76
Thanjavur,81.3,74.09625,81.3875,7.29
Nagapattinam,73.5,75.37333333333333,85.08833333333332,9.71
Tiruvarur,74.8,76.35249999999999,84.3375,7.99
Pudukkottai,72.0,76.22500000000001,84.675,8.45
Dindigul,73.4,76.83142857142856,90.05714285714285,13.23
Madurai,84.3,70.329,81.053,10.72
Theni,78.2,72.65,82.3475,9.7
Virudhunagar,78.6,73.81285714285714,85.81285714285715,12.0
Ramanathapuram,70.3,69.6025,77.92,8.32
Sivaganga,77.5,69.1375,77.6775,8.54
Tirunelveli,82.6,69.687,81.401,11.71
Kanniyakumari,91.8,68.71666666666667,76.54333333333334,7.83
